#site,A,D0,gamma,k,t0
acute_myeloid_leukemia_aml,1.7950000108591369,82013.58538502421,1.3078943814191448,-0.9999999999939111,85.06573680447478
chronic_myeloid_leukemia_cml,48.29904849396143,95262.62725591639,0.2840374979854517,-4.2131041517181457e-13,76.59993452632362
chronic_lymphocytic_leukemia_cll,7.072830919751273e-05,69387.87807682062,4.324716451471485,-0.12522759137022407,69.60498972916653
diffuse_large_b_cell_lymphoma_dlbcl,0.6042445020851823,95453.94885112079,1.6412165950744027,-0.9999999999962809,83.85852284135254
follicular_lymphoma,0.00037594393840421436,267812.55347680056,2.8909625886519645,-0.11045097678652953,81.09504953831649
multiple_myeloma,5.2259286889372524e-05,111695.24138986961,3.9742333051676892,-0.11864151949841024,75.51056176496135
colorectal_adenocarcinoma_mss,0.00717335410959262,122781.35657110164,3.12036936039711,-0.06777372764913546,76.43599256192847
gastric_adenocarcinoma,35.17678287557227,50441.103041637245,1.3101377000765309,-0.17023046590880897,81.01109567774628
pancreatic_adenocarcinoma,1.8856961373793479e-07,173458.14394605716,5.2433583346348485,-0.12356553317885191,72.75268504482591
lung_adenocarcinoma,4.794881464983674e-08,324474.58581981936,5.578459914254532,-0.1408522086711215,74.94564274597505
lung_squamous_cell_carcinoma,8.755666139859267e-07,63129.425367413365,5.669096665828968,-0.1973337120919922,72.33757341566687
small_cell_lung_carcinoma,3.3715745919922016e-10,263892.52455893264,6.685125588628804,-0.15875770039555726,68.84298802034041
kidney_chromophobe_carcinoma,0.37910523849590505,86769.69553048362,1.3398209243467087,-0.18686531306974913,77.00615451376632
kidney_clear_cell_carcinoma,5.623445260175741,60826.5270834849,1.8101748864784692,-0.15449483280574913,72.5357362666919
kidney_papillary_carcinoma,24503.19148410848,30083.6538423963,0.5054072332457901,-0.22061336795720365,69.71824159594097
malignant_gliomas_astrocytic_tumors,4.563441843533455,86132.04172894511,1.1139162763453654,-0.2559118700883581,81.76419865182045
melanoma_of_skin,1102.1102781022473,60934.72664245363,0.4962899765596713,-0.19171690729318105,82.51404451536308
soft_tissue_sarcomas,24.019252818955852,90914.37801921686,0.5525693495088809,-1.4752920827728866e-21,78.49058988140759
