"Site","Age","Sex","Incidence","SE","LowerCI","UpperCI","Count","Population"
"Lung adenocarcinoma","Unknown","Female","~","~","~","~",0,0
"Lung squamous cell carcinoma","00 years","Male and female","0","~","0","0.009",0,43061201
"Lung squamous cell carcinoma","00 years","Male","0","~","0","0.017",0,22011981
"Lung squamous cell carcinoma","00 years","Female","0","~","0","0.018",0,21049220
"Lung squamous cell carcinoma","01-04 years","Male and female","0","~","0","0.002",0,172923682
"Lung squamous cell carcinoma","01-04 years","Male","0","~","0","0.004",0,88392817
"Lung squamous cell carcinoma","01-04 years","Female","0","~","0","0.004",0,84530865
"Lung squamous cell carcinoma","05-09 years","Male and female","0","0","0","0.003",1,219155625
"Lung squamous cell carcinoma","05-09 years","Male","0","~","0","0.003",0,112012583
"Lung squamous cell carcinoma","05-09 years","Female","0.001","0.001","0","0.005",1,107143042
"Lung squamous cell carcinoma","10-14 years","Male and female","0.001","0.001","0","0.004",3,228557404
"Lung squamous cell carcinoma","10-14 years","Male","0.001","0.001","0","0.005",1,116939349
"Lung squamous cell carcinoma","10-14 years","Female","0.002","0.001","0","0.006",2,111618055
"Lung squamous cell carcinoma","15-19 years","Male and female","0.008","0.002","0.005","0.013",19,229160336
"Lung squamous cell carcinoma","15-19 years","Male","0.009","0.003","0.005","0.017",11,117683875
"Lung squamous cell carcinoma","15-19 years","Female","0.007","0.003","0.003","0.014",8,111476461
"Lung squamous cell carcinoma","20-24 years","Male and female","0.014","0.002","0.01","0.02",32,229290703
"Lung squamous cell carcinoma","20-24 years","Male","0.016","0.004","0.01","0.025",19,117600125
"Lung squamous cell carcinoma","20-24 years","Female","0.012","0.003","0.006","0.02",13,111690578
"Lung squamous cell carcinoma","25-29 years","Male and female","0.029","0.004","0.023","0.037",68,231301985
"Lung squamous cell carcinoma","25-29 years","Male","0.036","0.006","0.026","0.048",42,117171061
"Lung squamous cell carcinoma","25-29 years","Female","0.023","0.004","0.015","0.033",26,114130924
"Lung squamous cell carcinoma","30-34 years","Male and female","0.067","0.005","0.057","0.079",155,230073908
"Lung squamous cell carcinoma","30-34 years","Male","0.075","0.008","0.06","0.093",87,115938128
