site,A_orig,A_lower,A_upper,R0_orig,R0_lower,R0_upper,gamma_orig,gamma_lower,gamma_upper,k_orig,k_lower,k_upper,t0_orig,t0_lower,t0_upper
Acute myeloid leukemia,0.11751145124985504,0.10553029202253701,0.41176550786886934,100563.16005009931,12429.716369775255,23794.300553252484,1.657483340831128,0.2860790436368579,0.4320121131497683,-0.9999999999795266,2.0473289730205124e-11,0.18496913313457541,83.65025536896466,0.49644136994479027,19.17828556334841
Chronic lymphocytic leukemia,9.44111410502875e-09,9.353064195453175e-09,6.989338592993395e-08,80340.90370247081,13099.970897171152,19764.512044237417,6.111179895464543,0.4803388904189534,1.1690074438170672,-0.13755033009918702,0.018237629064737054,0.02246405324595814,64.65736826436518,8.284667681852113,3.8092005764559786
Chronic myeloid leukemia,2.5212488036707525,1.814656733572562,2.706362623434662,110812.30036794863,12141.416984021329,21608.90194700446,0.646980598660181,0.11651213141555017,0.31067788492362536,-0.158013205017663,0.2227182073918357,0.13370064836064374,87.47148772216194,14.883931975736544,14.099914668980844
Diffuse large B cell lymphoma,0.021618664108713163,0.018418183994632728,0.07571531721180072,116750.63892964512,17896.19487341291,31002.688119027123,2.162953009969877,0.2626046845221004,0.3461241077137558,-0.36952330826089963,0.6304766911864517,0.14076583498320697,84.70132602849539,1.1627409885838063,3.0270600861209402
Follicular lymphoma,6.61403890126794e-07,3.63031578139974e-07,3.130230069414038e-07,320307.313878339,34355.37179946888,50528.69471144391,4.31107037610051,0.10658361126868154,0.2231430719886065,-0.08413793219169043,0.007853304188183974,0.012415329853340165,69.58003656201303,5.343894360763997,2.6114044513063703
Multiple myeloma,1.1040627817407536e-08,1.0380961048935216e-08,2.294664979641832e-08,130982.728958501,18781.00250992336,30422.915198466755,5.767357069406691,0.28181845633740377,0.7317275120533209,-0.11127268044979571,0.015940582218040622,0.021624139540149467,66.78292171792346,9.313658764168594,3.823910669574005
Lung adenocarcinoma,1.3239119983774843e-11,6.9982985752029704e-12,7.632070964976648e-11,393583.80704153096,54940.94392286445,54855.73929752264,7.2935552381833135,0.46280824962259715,0.19947632551793681,-0.13411474078010924,0.016571505082725507,0.010625754620494934,71.13741705068237,1.8055133940792274,3.100449926988915
Lung squamous cell carcinoma,4.11879332722219e-10,4.069232775386835e-10,4.0164484512616515e-09,70769.78428822127,12216.096446989533,16574.64348811627,7.057164796745481,0.4607985234994372,1.0696493285348057,-0.20807985143601712,0.02847952454757202,0.04042903314034438,70.40911421891742,4.889287551283957,2.1797019798289057
Small cell lung carcinoma,2.31887345335514e-14,1.7399310824661873e-14,4.88659973168093e-13,281743.8739040012,79482.1081813699,58035.709057297674,8.710782877685226,0.6849122145562205,0.3520634671455376,-0.1620123038782346,0.008029393948118801,0.009260775988555542,66.02828127607945,1.9369740646124427,1.8280372565135679
Kidney clear cell carcinoma,0.0066467239635049575,0.005788085377827193,0.018777119091221515,71984.17509700933,9107.671252653032,11648.679485533168,3.122007582252191,0.24752148744794011,0.4578913964895355,-0.1522157385769691,0.021741708522851066,0.02794286340470252,67.11034363967349,4.534465620472254,2.591862235927138
Kidney papillary carcinoma,17.832074690092536,17.097972091942808,361.4258692392175,36409.82473857069,5286.796801160104,4310.693939578196,1.6174910210796187,0.4830036092190597,0.7038859276081206,-0.24545607327738098,0.04524308772141508,0.0507150887019919,67.60624514052438,4.155588511063371,2.2848116830115828
Kidney chromophobe carcinoma,0.001035004841508731,0.0007918880724535644,0.0013276384787412746,107886.22707530938,11035.090704344533,15953.948401988979,2.5247751148641675,0.16820505041624711,0.34008825089592865,-0.14168225176462426,0.023725294080460813,0.03148258740548625,70.76733696497962,4.330141971873914,2.338113023707436
